ID,Category,Tier,Model,Form,Vol_L,CPU,CPU_Arch,Cores,Boost_GHz,AVX512,iGPU_dGPU,Inf_Path,Mem_Type,Channels,RAM_GB,BW_GBps,Qwen7B_TokS,Phi35_TokS,Conc3_TokS,TDP_W,Top_NIC,ECC,Linux,Mgmt,ArchFit,Cost_USD,Upgrade,Upg_BW_GBps,Upg_RAM_GB,Upg_Qwen_TokS,Upg_Tier,Upg_Cost_USD,Notes
11,Apple,Reference,Mac Studio M3 Ultra 28c 96GB,SFF,3.7,M3 Ultra 28c,M3Ultra,28,4.0,No,M3U GPU 60c,Metal,UMA,16,96,819,90,200,40,480,10GbE,No,1,None,SplitArch,3999,+160GB to 256GB,819,256,105,Reference,2000,Best perf-per-dollar at Ultra tier
12,Apple,Reference,Mac Studio M3 Ultra 28c 256GB,SFF,3.7,M3 Ultra 28c,M3Ultra,28,4.0,No,M3U GPU 60c,Metal,UMA,16,256,819,105,220,45,480,10GbE,No,1,None,SplitArch,5999,32c CPU step up,819,256,110,Reference,1000,512GB SKU discontinued
13,Apple,Reference,Mac Studio M3 Ultra 32c 256GB,SFF,3.7,M3 Ultra 32c,M3Ultra,32,4.0,No,M3U GPU 80c,Metal,UMA,16,256,819,110,230,48,480,10GbE,No,1,None,SplitArch,6999,None (max config),819,256,110,Reference,0,Top current Mac Studio
14,StrixHalo,Workable,Framework Desktop 385 32GB,SFF,4.5,Ryzen AI Max 385,Zen5,8,5.0,Native,Radeon 8050S,iGPU-Vulkan,LPDDR5X-Soldered,4,32,215,25,65,11,100,5GbE,No,5,None,FullStack,1099,Step up to 395 64GB,215,64,50,BestInClass,500,Cheapest Strix entry; 8c only
15,StrixHalo,BestInClass,Framework Desktop 395 64GB,SFF,4.5,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,64,215,50,100,17,120,5GbE,No,5,None,FullStack,1599,+64GB to 128GB SKU,215,128,52,BestInClass,400,Best Strix Halo perf-per-dollar
16,StrixHalo,BestInClass,Framework Desktop 395 128GB,SFF,4.5,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,128,215,52,105,18,120,5GbE,No,5,None,FullStack,1999,None (max RAM soldered),215,128,52,BestInClass,0,Runs 70B Q4 at 4.8 t/s
17,StrixHalo,BestInClass,GMKtec EVO-X2 395 64GB,MiniPC,1.0,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,64,215,50,100,17,140,2.5GbE,No,4,None,FullStack,1499,+32GB to 96GB SKU,215,96,51,BestInClass,300,Cheapest 395 entry
18,StrixHalo,BestInClass,GMKtec EVO-X2 395 96GB,MiniPC,1.0,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,96,215,51,102,17,140,2.5GbE,No,4,None,FullStack,1799,+32GB to 128GB,215,128,52,BestInClass,400,Mid Strix Halo capacity
19,StrixHalo,BestInClass,GMKtec EVO-X2 395 128GB,MiniPC,1.0,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,128,215,52,105,18,140,2.5GbE,No,4,None,FullStack,2199,None,215,128,52,BestInClass,0,Most established Strix Halo
20,StrixHalo,BestInClass,Beelink GTR9 Pro 395 128GB,MiniPC,1.5,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,128,215,53,108,19,140,10GbE,No,4,None,FullStack,1985,None,215,128,53,BestInClass,0,Dual 10GbE; sustains boost longer
21,StrixHalo,BestInClass,Minisforum MS-S1 Max 395 128GB,MiniPC,2.0,Ryzen AI Max+ 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,128,215,52,105,18,100,10GbE,No,4,None,FullStack,2299,2U rack chassis available,215,128,52,BestInClass,0,2U rack mount option
22,StrixHalo,BestInClass,HP Z2 Mini G1a 395 PRO 64GB ECC,MiniWS,2.7,Ryzen AI Max+ PRO 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered-ECC,4,64,256,53,110,19,100,2.5GbE,Yes,5,DASH+SureStart,FullStack,4781,+64GB to 128GB ECC,256,128,55,BestInClass,1937,Only enterprise Strix; LPDDR5X-8533
23,StrixHalo,BestInClass,HP Z2 Mini G1a 395 PRO 128GB ECC,MiniWS,2.7,Ryzen AI Max+ PRO 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered-ECC,4,128,256,55,115,20,100,2.5GbE,Yes,5,DASH+SureStart,FullStack,6718,None,256,128,55,BestInClass,0,Top enterprise LLM mini
24,StrixHalo,BestInClass,HP ZBook Ultra G1a 395 PRO 128GB,Laptop,1.5,Ryzen AI Max+ PRO 395,Zen5,16,5.1,Native,Radeon 8060S,iGPU-Vulkan,LPDDR5X-Soldered,4,128,215,50,100,17,55,None,No,4,DASH,FullStack,4049,None,215,128,50,BestInClass,0,Only mobile 128GB Strix
25,AMDMini,Workable,Minisforum MS-A2 9955HX 32GB,MiniPC,1.78,Ryzen 9 9955HX,Zen5,16,5.4,Native,None,CPU,DDR5-SODIMM,2,32,89,18,40,7,75,10GbE-SFP+,No,4,None,FullStack,839,+32GB to 64GB SODIMM,89,64,18,Workable,100,PCIe x16 + dual SFP+ 10GbE
26,AMDMini,Workable,Minisforum MS-A2 9955HX 64GB,MiniPC,1.78,Ryzen 9 9955HX,Zen5,16,5.4,Native,None,CPU,DDR5-SODIMM,2,64,89,20,42,8,75,10GbE-SFP+,No,4,None,FullStack,1100,+32GB or add dGPU via PCIe,89,96,22,Workable,200,Headroom for system
27,AMDMini,Workable,Minisforum MS-A2 9955HX 96GB,MiniPC,1.78,Ryzen 9 9955HX,Zen5,16,5.4,Native,None,CPU,DDR5-SODIMM,2,96,89,22,45,9,75,10GbE-SFP+,No,4,None,FullStack,1400,Add dGPU via PCIe x16,288,96,50,BestInClass,600,Max RAM SODIMM; expandable
28,AMDMini,BestInClass,Minisforum AtomMan G7 PT + RX 7600M XT 8GB,MiniPC,1.7,Ryzen 9 7945HX,Zen4,16,5.4,DoublePumped,RX 7600M XT 8GB,dGPU-ROCm,DDR5-SODIMM,2,96,288,42,85,14,145,2.5GbE,No,4,None,FullStack,1499,None (only mini PC with dGPU OOB),288,96,42,BestInClass,0,dGPU; 8GB VRAM cap on model size
29,AMDMini,Workable,Beelink SER9 HX 370 32GB,MiniPC,0.27,Ryzen AI 9 HX 370,StrixPoint,12,5.1,256bit,Radeon 890M,iGPU-Vulkan,LPDDR5X-Soldered,2,32,120,20,50,8,65,2.5GbE,No,4,None,FullStack,1099,None (RAM soldered),120,32,20,Workable,0,LPDDR5X-7500 soldered
30,AMDMini,Workable,Minisforum UM890 Pro 8945HS 32GB,MiniPC,0.6,Ryzen 9 8945HS,Zen4,8,5.2,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,32,89,16,38,7,70,2.5GbE,No,4,None,FullStack,649,+64GB to 96GB,89,96,17,Workable,200,OCuLink for eGPU
31,AMDMini,Workable,Minisforum UM890 Pro 8945HS 96GB,MiniPC,0.6,Ryzen 9 8945HS,Zen4,8,5.2,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,96,89,17,40,7,70,2.5GbE,No,4,None,FullStack,879,Add eGPU via OCuLink,280,96,50,BestInClass,1500,eGPU upgrade meaningful
32,AMDMini,Workable,GMKtec K11 8945HS 32GB,MiniPC,0.7,Ryzen 9 8945HS,Zen4,8,5.2,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,32,89,15,38,7,70,2.5GbE,No,3,None,FullStack,649,+32GB or eGPU,89,64,15,Workable,200,Less polished firmware
33,AMDMini,Workable,Beelink GTR7 Pro 7940HS 32GB,MiniPC,0.6,Ryzen 9 7940HS,Zen4,8,5.2,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,32,89,13,35,6,65,2.5GbE,No,4,None,FullStack,720,+32GB to 64GB,89,64,14,Workable,200,Older Zen 4 mobile
34,AMDMini,Workable,Minisforum MS-01 i9-13900H 64GB,MiniPC,1.6,i9-13900H,RaptorLake,14,5.4,No,UHD iGPU weak,CPU,DDR5-SODIMM,2,64,83,12,32,6,65,10GbE-SFP+,No,4,None,FullStack,900,Add dGPU via PCIe x16,280,64,50,BestInClass,1500,Dual SFP+ 10GbE; PCIe slot
35,IntelMini,Production,ASUS NUC 15 Pro+ Ultra 9 285H 32GB,MiniPC,0.7,Core Ultra 9 285H,ArrowLake,16,5.4,No,Arc 140T iGPU,iGPU-IPEX,DDR5-SODIMM,2,32,89,30,65,12,65,2.5GbE,No,4,vPro,FullStack,900,+32GB to 64GB,89,64,30,Production,200,iGPU via IPEX-LLM; CPU-only=15 t/s
36,IntelMini,Production,ASUS NUC 15 Pro+ Ultra 9 285H 96GB,MiniPC,0.7,Core Ultra 9 285H,ArrowLake,16,5.4,No,Arc 140T iGPU,iGPU-IPEX,DDR5-SODIMM,2,96,89,32,68,13,65,2.5GbE,No,4,vPro,FullStack,1200,None (max RAM),89,96,32,Production,0,Smallest Intel option
37,IntelMini,Production,Geekom IT15 Ultra 9 285H 32GB,MiniPC,0.46,Core Ultra 9 285H,ArrowLake,16,5.4,No,Arc 140T iGPU,iGPU-IPEX,DDR5-SODIMM,2,32,89,30,65,12,65,2.5GbE,No,3,None,FullStack,1100,+32GB to 64GB,89,64,30,Production,200,Tiniest; audible under load
38,IntelMini,Production,Khadas Mind 2S Ultra 7 255H 64GB,MiniPC,0.2,Core Ultra 7 255H,ArrowLake,16,5.1,No,Arc iGPU,iGPU-IPEX,LPDDR5X-Soldered,2,64,128,28,60,11,55,None,No,3,None,FullStack,1599,None (RAM soldered),128,64,28,Production,0,Pocketable; modular dock
39,EntMini,Workable,HP EliteDesk 800 G9 Mini i9-14900T 64GB,MiniPC,2.0,i9-14900T,RaptorLake,24,5.5,No,UHD 770 weak,CPU,DDR5-SODIMM,2,64,89,13,32,6,35,2.5GbE,No,5,vPro,FullStack,1600,No useful upgrade,89,64,13,Workable,0,vPro Ent; bandwidth-capped
40,EntMini,Workable,HP EliteDesk 805 G9 Mini Ryzen 7 PRO 8700G 64GB,MiniPC,2.0,Ryzen 7 PRO 8700G,Zen4,8,5.1,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,64,89,16,38,7,65,1GbE,No,5,DASH,FullStack,1100,+32GB to 96GB,89,96,17,Workable,200,DASH mgmt; Radeon 780M iGPU
41,EntMini,Workable,Lenovo M90q Gen 5 i9-14900 64GB,MiniPC,1.35,i9-14900,RaptorLake,24,5.8,No,UHD 770 weak,CPU,DDR5-SODIMM,2,64,89,13,32,6,65,2.5GbE,No,5,vPro,FullStack,1700,No useful upgrade,89,64,13,Workable,0,vPro Ent; bandwidth-capped
42,EntMini,Production,Lenovo M90q Gen 6 Ultra 9 285 64GB,MiniPC,1.35,Core Ultra 9 285,ArrowLake,24,5.6,No,Arc iGPU,iGPU-IPEX,DDR5-SODIMM,2,64,102,32,68,13,65,2.5GbE,No,5,vPro,FullStack,1800,+32GB to 96GB,102,96,33,Production,200,Arc iGPU best path
43,EntMini,Workable,Lenovo M75q Gen 5 Ryzen 7 PRO 8700GE 64GB,MiniPC,1.0,Ryzen 7 PRO 8700GE,Zen4,8,5.1,DoublePumped,Radeon 780M,iGPU-Vulkan,DDR5-SODIMM,2,64,83,15,36,6,35,1GbE,No,5,DASH,FullStack,1200,+32GB to 96GB,83,96,15,Workable,200,Compact AMD enterprise
44,EntMini,Workable,Dell OptiPlex 7020 MFF i9-14900 64GB,MiniPC,1.2,i9-14900,RaptorLake,24,5.8,No,UHD 770 weak,CPU,DDR5-SODIMM,2,64,89,13,32,6,65,2.5GbE,No,5,vPro,FullStack,1500,No useful upgrade,89,64,13,Workable,0,vPro Ent
45,EntMini,Production,Lenovo P3 Tiny G2 Ultra 9 96GB,MiniPC,1.0,Core Ultra 9 285,ArrowLake,24,5.6,No,Arc iGPU,iGPU-IPEX,DDR5-SODIMM,2,96,102,32,68,13,65,2.5GbE,No,5,vPro,FullStack,2500,None (max RAM),102,96,32,Production,0,No ECC despite WS branding
46,EntMini,Production,Lenovo P3 Ultra G2 Ultra 9 128GB ECC CPU only,MiniWS,3.9,Core Ultra 9 285,ArrowLake,24,5.6,No,Arc iGPU,iGPU-IPEX,DDR5-SODIMM-ECC,2,128,102,32,68,13,65,2.5GbE,Yes,5,vPro,FullStack,3000,+RTX 4000 SFF Ada 20GB,280,128,90,Reference,2000,ECC; dGPU upgrade meaningful
47,EntMini,Reference,Lenovo P3 Ultra G2 + RTX 4000 SFF Ada 20GB,MiniWS,3.9,Core Ultra 9 285,ArrowLake,24,5.6,No,RTX 4000 SFF Ada 20GB,dGPU-CUDA,DDR5-SODIMM-ECC,2,128,280,90,200,35,245,2.5GbE,Yes,5,vPro,FullStack,5000,None,280,128,90,Reference,0,Fastest sub-$5K Linux LLM box
48,EntMini,Workable,Dell Precision 3280 i9-14900 128GB ECC CPU only,MiniWS,2.7,i9-14900,RaptorLake,24,5.8,No,UHD 770 weak,CPU,DDR5-SODIMM-ECC,2,128,89,13,32,6,65,2.5GbE,Yes,5,vPro,FullStack,2500,+RTX A1000 8GB,144,128,45,BestInClass,1000,ProSupport + RHEL cert
49,EntMini,BestInClass,Dell Precision 3280 + RTX A1000 8GB,MiniWS,2.7,i9-14900,RaptorLake,24,5.8,No,RTX A1000 8GB,dGPU-CUDA,DDR5-SODIMM-ECC,2,128,144,45,110,18,115,2.5GbE,Yes,5,vPro,FullStack,3500,Upgrade to RTX 4000 SFF Ada,280,128,90,Reference,1500,HSBC-friendly enterprise; 8GB VRAM cap
50,EntMini,Inadequate,HP ProDesk 405 G9 Mini Ryzen 7 PRO 32GB,MiniPC,2.0,Ryzen 7 PRO entry,Zen4,8,4.9,DoublePumped,Radeon weak,CPU,DDR5-SODIMM,2,32,76,11,28,5,35,1GbE,No,5,DASH,FullStack,800,+32GB to 64GB,76,64,11,Inadequate,200,Entry tier; underpowered
51,CustomBuild,Workable,Ryzen 9 9950X 64GB DDR5-6000,Desktop,30,Ryzen 9 9950X,Zen5,16,5.7,Native,None,CPU,DDR5,2,64,96,25,55,10,170,2.5GbE,No,5,None,FullStack,1500,Add dGPU (RTX 4060Ti+),280,64,75,Reference,600,Best Zen 5 single-thread; expandable
52,CustomBuild,Workable,Ryzen 9 9950X 192GB DDR5-6000,Desktop,30,Ryzen 9 9950X,Zen5,16,5.7,Native,None,CPU,DDR5,2,192,96,26,56,10,170,2.5GbE,No,5,None,FullStack,1900,Add dGPU,280,192,75,Reference,600,Max sensible RAM; bandwidth same
53,CustomBuild,Workable,Ryzen 9 7950X 64GB DDR5-5600,Desktop,30,Ryzen 9 7950X,Zen4,16,5.7,DoublePumped,None,CPU,DDR5,2,64,89,22,50,9,170,2.5GbE,No,5,None,FullStack,1200,Add dGPU,280,64,70,Reference,600,Original PoC proposal
54,CustomBuild,Workable,Ryzen 9 7950X 192GB DDR5-5600,Desktop,30,Ryzen 9 7950X,Zen4,16,5.7,DoublePumped,None,CPU,DDR5,2,192,89,23,51,9,170,2.5GbE,No,5,None,FullStack,1600,Add dGPU,280,192,70,Reference,600,Max capacity 2-ch
55,OwnedServer,Workable,Lenovo SR645 EPYC 7413 4ch 4x16GB CURRENT,1U-Rack,22,EPYC 7413,Zen3,24,3.6,No,None,CPU,DDR4-3200-ECC,4,64,102,17,38,11,180,1GbE,Yes,5,IPMI+XClarity,FullStack,0,+4 DIMMs to 8-ch,204,128,31,Production,120,OWNED; current config
56,OwnedServer,Production,Lenovo SR645 EPYC 7413 8ch 8x16GB,1U-Rack,22,EPYC 7413,Zen3,24,3.6,No,None,CPU,DDR4-3200-ECC,8,128,204,31,58,17,180,1GbE,Yes,5,IPMI+XClarity,FullStack,120,Bigger DIMMs for capacity,204,256,31,Production,400,OWNED + minimal upgrade
57,OwnedServer,Production,Lenovo SR645 EPYC 7413 8ch 8x32GB,1U-Rack,22,EPYC 7413,Zen3,24,3.6,No,None,CPU,DDR4-3200-ECC,8,256,204,31,58,17,180,1GbE,Yes,5,IPMI+XClarity,FullStack,520,Add dGPU via PCIe x16,280,256,80,Reference,1500,256GB headroom
58,OwnedWS,Inadequate,HP Z6 G5 TR PRO 7945WX 2ch 2x32GB AS-SHIPPED,Tower,30,TR PRO 7945WX,Zen4,12,5.3,DoublePumped,None,CPU,DDR5-5200-ECC,2,64,83,12,26,4,350,1GbE,Yes,5,iLO,FullStack,6000,+2 DIMMs to 4-ch,166,128,26,Production,800,WORSE than owned SR645
59,OwnedWS,Production,HP Z6 G5 TR PRO 7945WX 4ch 4x32GB,Tower,30,TR PRO 7945WX,Zen4,12,5.3,DoublePumped,None,CPU,DDR5-5200-ECC,4,128,166,26,50,10,350,1GbE,Yes,5,iLO,FullStack,6800,+4 DIMMs to 8-ch,333,256,48,BestInClass,1500,Mid HP Z6 upgrade
60,OwnedWS,BestInClass,HP Z6 G5 TR PRO 7945WX 8ch 8x32GB,Tower,30,TR PRO 7945WX,Zen4,12,5.3,DoublePumped,None,CPU,DDR5-5200-ECC,8,256,333,48,90,15,350,1GbE,Yes,5,iLO,FullStack,8300,Bigger DIMMs to 512GB or add dGPU,333,512,48,BestInClass,2000,Max bandwidth HP Z6
61,OwnedWS,BestInClass,HP Z6 G5 TR PRO 7945WX 8ch 8x64GB,Tower,30,TR PRO 7945WX,Zen4,12,5.3,DoublePumped,None,CPU,DDR5-5200-ECC,8,512,333,48,90,15,350,1GbE,Yes,5,iLO,FullStack,10300,Add dGPU,1000,512,120,Reference,2000,Max RAM + dGPU path
